supplier_id,supplier_name,supplier_city,supplier_address,supplier_postcode,supplier_email,supplier_contact
NA,"Reed, Scott and Morris",North Lanarkshire,"Flat 62
Francis island",ML1 4HB,htaylor@example.com,07090925544
NA,Harris PLC,South Ribble,2 Patel shore,PR5 5FF,terence95@example.org,07576962029
NA,Mason-Jones,Nottingham,9 Lisa club,NG5 3PE,ross31@example.net,07072507493
NA,Jenkins-Barnes,Bedford,6 Walton streets,MK42 5WF,frances53@example.com,07186428212
NA,Moss Inc,Fife,645 Frederick mills,KY11 1SD,khussain@example.org,07918896644
NA,"Clayton, O'Sullivan and Smith",Camden,"Studio 80y
Bailey stream",NW3 1DJ,fishertoby@example.com,07406448885
NA,Hughes LLC,Liverpool,"Studio 3
Harris mountains",L21 0HJ,cartwrighthannah@example.org,07536208296
NA,Clements-Cooper,Shropshire,1 Clark rest,SY1 9HQ,denisechambers@example.org,07570869305
NA,Farmer-Hart,Hertsmere,762 Williams gateway,WD6 3XW,jeanpearce@example.net,07823570393
NA,Smith Ltd,Dacorum,"Flat 82w
Mistry corners",HP2 6nan,damianhope@example.org,07426197378
NA,Hartley-Fowler,Lambeth,"Flat 40
Hurst avenue",SE27 0WT,lingram@example.org,07132716644
NA,Dale-Ball,Bury,14 Diane squares,M45 7JE,ghutchinson@example.net,07659514070
NA,"Edwards, Davies and Hayes",Haringey,"Flat 7
Paige track",N8 8JL,hillsarah@example.com,07436666097
NA,Ali-Blackburn,Middlesbrough,"Flat 01r
David glens",TS3 8QJ,oherbert@example.net,07592945067
NA,Nicholls-Spencer,Bolton,"Studio 96
Warner glen",BL3 1SZ,ireneshaw@example.net,07820195501
NA,Brown PLC,Brighton and Hove,"Flat 39f
Steven turnpike",BN3 8PJ,tkaur@example.org,07318705056
NA,"Daniels, Turnbull and Harrison",Solihull,"Flat 85h
Ben cliff",B37 7ZX,ashley96@example.net,07246292648
NA,"Ward, Cooper and Russell",Wiltshire,"Flat 48i
Stacey cove",SN6 8YS,elliottthornton@example.com,07022270808
NA,Griffiths-Howard,Swansea,"Studio 86V
Harris landing",SA5 7XB,martinguy@example.net,07625911824
NA,"Jones, Donnelly and Haynes",Staffordshire,1 Margaret locks,ST5 8DL,glenntaylor@example.net,07345448727
NA,Morgan Ltd,Worcester,"Flat 84
Donnelly summit",WR2 6UG,elliotward@example.org,07820928051
NA,"Doyle, Baker and Hayward",Central Bedfordshire,"Flat 77
Hughes circle",SG19 9EN,andrew59@example.net,07379378252
NA,Roberts-Bell,Charnwood,"Flat 27d
Richard knoll",LE11 1LN,hopederek@example.com,07780818501
NA,"Robinson, Blake and Taylor",Southwark,"Studio 0
Joyce way",SE1 1LE,hughesbenjamin@example.org,07169597568
NA,Thomas Group,Larne,605 Connor river,BT40 9FU,jordanbrown@example.net,07512502205
NA,Hyde-Bates,Camden,43 Marion heights,NW1 7NX,joseph05@example.net,07930604609
NA,Pearson-Tucker,Cardiff,6 Edwards lights,CF14 5FT,nkirk@example.com,07251607599
NA,Poole Inc,Ealing,66 Lucy station,W5 2RW,tsanders@example.org,07449762074
NA,Smith-Payne,Salford,523 Louise keys,M28 7YN,michelle60@example.com,07361511050
NA,"King, Bradshaw and Stevens",East Ayrshire,"Studio 7
Elliott underpass",KA3 5LY,eleanor87@example.org,07269057877
NA,Russell Ltd,Doncaster,39 Charlotte bypass,DN4 9TR,hansonjanet@example.org,07108640811
NA,"Harrison, Burton and Rogers",Carmarthenshire,125 Kim springs,SA15 5UF,knightbrenda@example.net,07551702840
NA,Lane PLC,Lancaster,9 Osborne squares,LA1 5XN,jasonsheppard@example.org,07065282222
NA,Preston-Hudson,Enfield,"Flat 67d
Jackson overpass",N9 1ZJ,danielandrews@example.org,07395076033
NA,Collins-Allan,Birmingham,"Studio 73v
Thomas center",B32 4FY,jasonpugh@example.net,07452353267
NA,Hunter Inc,Northampton,04 Bradley circles,NN4 5DD,houghtonclare@example.net,07592690290
NA,Williams-Fletcher,South Northamptonshire,"Studio 39z
Sandra fields",NN12 6YL,jaynefoster@example.com,07622005800
NA,Bell-Hunt,Daventry,"Studio 19
Stanley islands",NN3 9PB,nicola00@example.com,07019922606
NA,"Smith, Parsons and O'Neill",Hounslow,"Flat 40H
Karl land",W4 1ZE,evansvanessa@example.org,07695325838
NA,"Day, Godfrey and Potts",Huntingdonshire,8 Kay flats,PE28 9AA,wsmith@example.org,07612695166
NA,Little Inc,Surrey Heath,"Studio 44H
Smith key",GU16 9ZT,zhaynes@example.com,07376363769
NA,"Lawrence, Martin and Martin",Liverpool,4 John mount,L20 5YP,hbrown@example.com,07144858099
NA,"Chandler, Hutchinson and Morris",Hampshire,"Studio 70Z
Robinson mount",PO15 5DE,xstewart@example.net,07734095618
NA,Connolly-Jennings,Bournemouth,"Flat 1
Cameron courts",BH10 4ZE,joyce07@example.com,07026066617
NA,"Barnes, Sanders and Price",Oxford,37 Rachel points,OX3 0BE,ahmedolivia@example.org,07972257629
NA,Ward-Schofield,Renfrewshire,"Flat 2
Wendy forges",PA16 7NJ,sharpejoshua@example.com,07481552578
NA,Day and Sons,Rugby,55 Dean heights,CV22 7HP,joyce38@example.net,07034295460
NA,Goodwin-Hunt,Strabane,478 Wilkinson green,BT81 7YX,emma43@example.org,07486064635
NA,Cross-Hayward,Exeter,"Flat 01
Kyle street",EX32 0FY,norman98@example.net,07221952069
NA,"Mills, Wright and Francis",East Hampshire,"Flat 34
Paula passage",GU35 5ED,ben25@example.net,07671168822
