order_id,cust_id,order_status,order_date
71619065,gihd07uq210,Cancelled,2021-07-30T15:02:47Z
52742395,ikzx52ui551,Processing,2022-08-16T15:36:48Z
55269286,ljfo40vn215,Cancelled,2019-09-08T00:02:50Z
35277939,qkbc91bj561,Cancelled,2022-12-15T09:14:56Z
18582463,mgdx98lu616,Cancelled,2023-04-07T17:02:52Z
16862151,ikzx52ui551,Cancelled,2020-05-05T02:27:41Z
94117619,zhfl22kv442,Cancelled,2023-07-09T23:00:52Z
86248271,xikc18dy769,Pending,2021-11-14T17:17:27Z
47703666,ikzx52ui551,Pending,2022-10-21T19:01:25Z
21091613,vqjd84nx309,Processing,2019-12-31T21:35:54Z
36268576,vqjd84nx309,Delivered,2023-11-14T08:00:08Z
21530177,tifc99bi200,Pending,2021-05-25T21:26:05Z
51873577,korx32es976,Shipped,2020-03-21T01:05:05Z
31318366,xrmi24eu289,Shipped,2023-07-04T17:18:32Z
82217266,tbkl20yp323,Delivered,2022-01-27T03:04:16Z
80769715,vqjd84nx309,Delivered,2022-06-15T05:49:15Z
93380254,tomw58ec332,Shipped,2020-02-22T04:10:09Z
70790059,qvgr83pl390,Cancelled,2024-01-26T09:48:01Z
17024035,knqn03cl323,Shipped,2021-03-26T22:16:41Z
42615445,awnl93gw081,Processing,2019-04-20T00:16:45Z
17767680,jzox33pt846,Delivered,2019-12-04T21:38:15Z
64649962,ehqe06pj251,Delivered,2021-07-06T17:44:46Z
29336427,jaod01gt269,Processing,2022-02-14T21:59:53Z
49306897,awnl93gw081,Pending,2019-05-19T13:41:13Z
20508421,gihd07uq210,Processing,2019-04-21T23:44:13Z
18019128,pegk82sb010,Shipped,2019-05-07T00:01:08Z
22311993,vqjd84nx309,Processing,2023-03-05T04:37:23Z
99195432,ormw26jh773,Cancelled,2022-09-22T01:23:40Z
44226575,xpnj35im610,Pending,2022-01-02T05:57:09Z
45255509,ljfo40vn215,Pending,2021-03-12T01:28:55Z
44212897,fpsq33or116,Delivered,2020-09-26T17:18:37Z
62369466,unkz46ug554,Delivered,2021-12-27T02:08:34Z
95904830,iiyk27fi635,Processing,2020-04-20T20:50:13Z
28984535,gkab56dt596,Delivered,2019-08-11T07:10:43Z
