order_item_id,order_id,product_id,ads_id,order_item_quantity,order_item_unit_price
90574950,51696044,3309981,NA,4,46.16
25091498,38909317,8670750,NA,2,36.4
62908002,54115579,5169185,NA,7,33.09
9183125,13175549,3274757,NA,2,24.64
71125921,80729533,1912311,NA,2,26.48
85283537,98881757,4168729,NA,5,62.94
1068554,84026325,7048236,NA,4,1
76990325,69379063,8454786,NA,5,51.24
95028195,21518960,8221101,NA,4,18.02
69068176,53029975,6089661,NA,3,39.09
42198559,29580805,2162450,NA,4,28.42
11692912,83189811,8014874,NA,5,25.9
11301082,67432523,4457380,NA,7,40.57
38583892,82217266,8454786,NA,4,51.24
75249496,16898483,9884348,NA,4,40.7
79339322,51873577,5869492,NA,3,64.49
70916499,28852749,8764892,NA,5,52.3
53812404,55269286,3201007,NA,1,14.06
85925399,17955791,8014874,NA,6,25.9
13905287,80729533,7971455,NA,4,58.68
19105911,73315691,8352909,NA,1,23.38
7544242,61352317,4232484,NA,3,30.44
81465493,44212897,5755150,NA,7,43.33
18215124,40676517,2778781,NA,5,33.42
93894782,47176056,9406398,NA,2,67.91
61911598,97713916,6034126,NA,3,44.85
48895494,30914889,9474908,NA,4,24.56
81445938,23653029,3309981,NA,5,46.16
77393783,67558104,6423827,NA,2,36.26
58996533,32826333,9437191,NA,6,18.91
95213734,50872739,7048236,NA,2,1
54500088,93349494,5297346,NA,4,33.06
76292467,31318366,3201007,NA,3,14.06
7572935,51696044,4072304,NA,3,29.33
24662091,67810995,3402388,NA,6,56.35
54809092,82061695,5730365,NA,4,42.44
94398323,25475619,4949417,NA,4,30.56
27460094,20661283,6789150,NA,3,29.42
84439810,62858865,7554000,NA,4,26.78
16869064,63738965,4949417,NA,5,30.56
2964838,70681694,4375297,NA,4,34.25
46415940,40130864,1912311,NA,5,26.48
46957333,11409099,4231141,NA,4,41.09
45101779,70790059,7032885,NA,4,44.88
96207976,72644801,1952636,NA,4,11.06
17773404,64665076,4593958,NA,2,43.72
92084510,37425828,2778781,NA,4,33.42
11301661,30858543,5169185,NA,8,33.09
82422023,57102524,4593958,NA,5,43.72
37677342,77162384,6423827,NA,3,36.26
55537075,12622004,7048236,NA,5,1
14100460,37425828,3220550,NA,5,33.31
15905831,56586401,4232484,NA,5,30.44
22722268,42615445,9084613,NA,5,32.72
68304857,83189811,9817357,NA,1,37.03
6370684,77162384,8454786,NA,2,51.24
67283112,79852007,7455681,NA,3,30.59
4584608,22838962,6034126,NA,3,44.85
86848167,90727697,3145797,NA,5,44.91
85156989,41055205,7932799,NA,8,44.67
3033828,44126874,5724452,783899,5,18.57
42945419,33654799,7823025,355119,4,15.49
79892688,54153815,5084719,932873,3,29.27
91593128,80856775,4072304,764403,6,11.66
92471557,14742018,9406398,155707,3,30.49
28858025,51873577,3274757,169895,3,6.68
24649845,21530177,5724452,783899,5,18.57
70804771,44126874,4375297,165586,3,12.9
26057998,13175549,7823025,355119,4,15.49
30881693,28852749,5329248,697717,5,10.04
52715400,40582794,4524428,445599,2,13.59
18216917,32826333,5084719,932873,4,29.27
41800425,31318366,4375297,165586,4,12.9
82959351,92829712,1734778,783838,4,3.98
84930015,71217634,3226910,901714,3,19.96
7949996,53029975,4375297,165586,5,12.9
41276348,50441557,8764892,488059,4,41.42
39032415,35588789,2778781,252835,5,12.08
94055538,57102524,8014874,114716,4,4.26
11117650,50872739,8764892,488059,5,41.42
