payment_id,cust_id,order_item_id,payment_status,payment_method
kgay57rn205,jzox33pt846,38909317,Processing,Credit Card
qggx88bq009,zndx79dv595,54115579,Cancelled,Debit Card
pszz67zb401,ucqd20dx502,13175549,Cancelled,Debit Card
yjbv21mx887,uztn96tq233,98881757,Processing,Bank Transfer
ohph55tj646,gihd07uq210,84026325,Pending,Credit Card
cuab86qv621,ikzx52ui551,21518960,Processing,Credit Card
shws39fm841,htdh42io696,83189811,Failed,Bank Transfer
nzvq14wz311,tbkl20yp323,82217266,Completed,Bank Transfer
kkmt02ws749,korx32es976,51873577,Cancelled,PayPal
fwvy52bx985,bjgd27ii209,28852749,Processing,PayPal
wemh59kw741,rkge30jc866,17955791,Cancelled,Debit Card
kbir82xm028,mnxk50yg461,73315691,Completed,Credit Card
fxok69ph847,zxls47rf746,61352317,Pending,Credit Card
alhi39rt218,fpsq33or116,44212897,Cancelled,Bank Transfer
evuv24nl062,awnl93gw081,40676517,Processing,Credit Card
jtmp71sr632,tkpw04jb846,30914889,Cancelled,Credit Card
zxla72sr567,sahs22dc031,32826333,Processing,Credit Card
icce87tl585,unkz46ug554,93349494,Processing,Debit Card
wfbo14ih526,xrmi24eu289,31318366,Processing,Debit Card
rjuf69oh382,fpsq33or116,82061695,Failed,Credit Card
pmbx15ac383,cbks56ex501,25475619,Completed,PayPal
qqma30cf278,msit86sd799,20661283,Completed,Credit Card
cvsf32dv452,xikc18dy769,62858865,Failed,PayPal
vnvf03yi434,yclp85ad695,63738965,Cancelled,Credit Card
sqwp44da430,zndx79dv595,70681694,Completed,Credit Card
btyr95tl817,zhfl22kv442,40130864,Completed,Debit Card
azgh34gn272,jzox33pt846,11409099,Processing,Credit Card
gyts25bz801,zhac02rd895,56586401,Processing,Debit Card
wtno58cd640,awnl93gw081,42615445,Failed,Credit Card
ohip91hc090,htdh42io696,83189811,Pending,Debit Card
pwds21nj676,htdh42io696,22838962,Processing,Debit Card
zszs40sk334,unkz46ug554,41055205,Cancelled,Credit Card
jcib74qh716,sahs22dc031,44126874,Cancelled,PayPal
gliw59ia067,krhb93ai768,54153815,Processing,Bank Transfer
yacw15dk076,uztn96tq233,80856775,Processing,Credit Card
iuha80pz065,xrmi24eu289,14742018,Completed,Debit Card
cndu50qf590,korx32es976,51873577,Cancelled,Debit Card
gqwc99ps277,sahs22dc031,44126874,Completed,Credit Card
vpkr54pk689,ucqd20dx502,13175549,Completed,PayPal
lodr78vx058,bjgd27ii209,28852749,Completed,Bank Transfer
hqmq29is681,sahs22dc031,32826333,Processing,Debit Card
pdqi79gj513,xrmi24eu289,31318366,Processing,Bank Transfer
kcqs21hd900,ynta91pg464,35588789,Cancelled,Debit Card
baal56am396,mkdf99dr289,51696044,Pending,PayPal
xazg80dd623,korx32es976,80729533,Failed,Credit Card
cmfa05uw594,qvgr83pl390,69379063,Processing,Bank Transfer
gtgm36dz554,uztn96tq233,53029975,Completed,Credit Card
pcpk99hs984,uhkk86wl165,29580805,Refund Failed,Debit Card
afkt53re031,xrmi24eu289,67432523,Refund Completed,Credit Card
yqhl82ew725,rkge30jc866,16898483,Failed,PayPal
kzeq91ig599,ljfo40vn215,55269286,Refund Failed,Credit Card
xlaf56tn316,korx32es976,80729533,Completed,PayPal
ofbs20ql303,tkpw04jb846,47176056,Refund Failed,Debit Card
xqia50py892,zhac02rd895,97713916,Completed,Debit Card
vpal53yj508,mgdx98lu616,23653029,Completed,Debit Card
wjif32fn092,sahs22dc031,67558104,Refund Failed,PayPal
fkor97yh169,cjum45cw955,50872739,Pending,Credit Card
mjww56zl830,mkdf99dr289,51696044,Processing,Credit Card
ujor71kr848,jaod01gt269,67810995,Pending,Debit Card
zapo44wl535,qvgr83pl390,70790059,Refund Completed,Credit Card
pqsx83pk258,xrmi24eu289,72644801,Refund Completed,Debit Card
mumd30df037,bofq23xp782,64665076,Refund Completed,Debit Card
samn54zr121,zhac02rd895,37425828,Refund Completed,PayPal
zaca31gd058,iiyk27fi635,30858543,Pending,PayPal
ggor91kb976,zxhu04qz949,57102524,Refund Completed,PayPal
xaoy82xs400,zndx79dv595,77162384,Completed,PayPal
xsyt57io840,fpsq33or116,12622004,Refund Failed,PayPal
wcvx53qv770,zhac02rd895,37425828,Refund Completed,Debit Card
sqgu20rf119,zndx79dv595,77162384,Failed,Debit Card
zckm50eq913,xpnj35im610,79852007,Refund Completed,Debit Card
aaww56bb745,ahlk24vu240,90727697,Refund Failed,Debit Card
zfxe18rw312,pbyh46iw645,33654799,Pending,Credit Card
jzcy76cq623,tifc99bi200,21530177,Completed,Credit Card
rilb12qq186,cbks56ex501,40582794,Refund Completed,Credit Card
okwe73hw888,nzgm59bl587,92829712,Refund Completed,Credit Card
vfok09gs067,ezjr14hu791,71217634,Refund Failed,Credit Card
ylmh21xh175,uztn96tq233,53029975,Failed,PayPal
atcs56fn096,pghk17cd042,50441557,Pending,Debit Card
vsde62ns732,zxhu04qz949,57102524,Refund Processing,Credit Card
uuqd41aw177,cjum45cw955,50872739,Failed,Debit Card
